Ticker,Name der Anteilklasse,ISIN,Fondsvermögen,UCITS,Domizil,TER (%),Laufende Gebühren (%),Auflagedatum,Anlageklasse,Unteranlageklasse,Region,Währung der Anteilsklasse,Markt,Strategie,Standort,Anteils- klasse,Anteile im Umlauf,für ISA zugelassen,Produktmethodik,Emittent,Ertrags- verwendung,Referenzindex,NAV,Per,Benchmark-Wert,für SIPP verfügbar,UK-Distributor /Reporting-Status,Risk Indicator,Geldkurs,Per,Briefkurs,Per,AUM (Mio.),UCITS,Anlageansatz,Diskrete Rendite,,,,,,Annualisiert,,,,,,,Kumulativ,,,,,,,Merkmale,,,,,,Kalenderjahr,,,,,,Merkmale,,,,,,,Nachhaltigkeitsmerkmale (MSCI),,,
QDVK,iShares S&P 500 Consumer Discretionary Sector UCITS ETF USD (Acc),IE00B4MCHD36,"183.950.033,86",Ja,Irland,"0,15",-,20.Nov.2015,Aktien,Large Caps,Nordamerika,USD,Industrieländer,Sektoren,Vereinigte Staaten von Amerika,- ,"17.750.000,00",Ja,Replikation,iShares V plc,thesaurierend,S&P 500 Capped 35/20 Consumer Discretionary Index,"10,36",17.Nov.2020,"528,99",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"183,95",Y,Index Fonds,30.Sep.2020,-,"14,05","32,02","1,98","27,79",31.Oct.2020,"23,75","19,46","17,87",-,-,"14,17",31.Oct.2020,"18,94","23,48","63,75",-,-,"92,62",-,"0,00","0,02","0,00","0,00",-,-,"5,55","22,49","0,49","27,43",31.Dec.2019,iShares S&P 500 Consumer Discretionary Sector UCITS ETF USD (Acc),"33,76","7,06","0,01","0,00","0,00","567.070,09",AA,"7,33","42,45",-
QDVL,iShares € Corp Bond 0-3yr ESG UCITS ETF,IE00BYZTVV78,"894.488.972,12",Ja,Irland,"0,15",-,07.Jan.2016,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"178.476.426,00",Ja,Sampling,iShares II plc,ausschüttend,Bloomberg Barclays MSCI Euro Corp 0-3 Sustainable SRI Index,"5,01",17.Nov.2020,"135,73",Ja,Nein/Ja,2.00,-,17.Nov.2020,-,17.Nov.2020,"894,49",Y,Index Fonds,30.Sep.2020,-,"0,10","-0,27","0,50","-0,03",31.Oct.2020,"0,18","0,36","0,09",-,-,"0,25",31.Oct.2020,"0,22","1,59","0,26",-,-,"1,19","0,23","1,66","1,71","1,56","0,08",-,-,-,"0,05","-0,53","0,76",31.Dec.2019,iShares € Corp Bond 0-3yr ESG UCITS ETF,"10,72","0,80","-0,09","1,66","1,56","0,00",AA,"8,07","100,66",ESG Broad
QDVM,iShares TA-35 Israel UCITS ETF USD (Acc),IE00BP3QZG05,"22.463.784,83",Ja,Irland,"0,60",-,18.Jan.2016,Aktien,Alle Kapitalisierungen,Europa,USD,Industrieländer,-,Israel,- ,"4.000.000,00",Ja,Replikation,iShares IV plc,thesaurierend,TA-35 Index,"5,62",17.Nov.2020,"2.638,27",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"22,46",Y,Index Fonds,30.Sep.2020,-,"3,77","11,54","2,22","-18,33",31.Oct.2020,"-17,45","-4,98","-2,18",-,-,"0,48",31.Oct.2020,"-20,38","-5,24","-6,41",-,-,"2,32",-,"0,00","0,00","0,00","0,00",-,-,-,"13,15","-10,70","23,57",31.Dec.2019,iShares TA-35 Israel UCITS ETF USD (Acc),"13,86","1,24","0,01","0,00","0,00","5.630,54",BB,"4,12","60,68",-
-,iShares Em Mkts Gov Bond Index I7 USD,LU1333800438,-,Ja,Luxemburg,-,"0,24",16.Dec.2015,Anleihen,Staatsanleihen,Global,USD,Schwellenländer,-,Weitere,Class I7,-,-,-,BlackRock (Luxembourg) S.A.,ausschüttend,JP Morgan EMBI Global Diversified Index,"108,25",17.Nov.2020,-,-,-,4.00,-,17.Nov.2020,-,17.Nov.2020,"3.701,39",Y,Index Fonds,30.Sep.2020,-,"4,44","-1,84","11,38","1,13",31.Oct.2020,"1,15","7,36","3,31",-,-,"6,00",31.Oct.2020,"-0,50","12,21","10,25",-,-,"32,84","5,09","12,39",-,"7,87",-,-,-,"9,96","10,01","-4,18","14,84",31.Dec.2019,iShares Em Mkts Gov Bond Index I7 USD,"5,62","0,49","4,53","12,39","7,87","0,00",BB,"3,16","1,00",-
-,iShares Em Mkts Gov Bond Index Hg A2 EUR,LU1373035580,-,Ja,Luxemburg,-,"0,52",13.Apr.2016,Anleihen,Staatsanleihen,Global,EUR,Schwellenländer,-,Weitere,KLASSE A2 HEDGED,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,JP Morgan EMBI Global Diversified Index,"114,45",17.Nov.2020,-,-,-,4.00,-,17.Nov.2020,-,17.Nov.2020,"3.701,39",Y,Index Fonds,30.Sep.2020,-,"2,07","-4,69","7,65","-1,57",31.Oct.2020,"-1,36","4,26","0,27",-,-,"2,28",31.Oct.2020,"-2,48","11,41","0,81",-,-,"10,79","5,46","12,39",-,"7,87",-,-,-,-,"7,40","-7,16","11,16",31.Dec.2019,iShares Em Mkts Gov Bond Index Hg A2 EUR,"5,62","0,49","4,53","12,39","7,87","0,00",BB,"3,16","1,00",-
-,iShares Em Mkts Gov Bond Index Hg I2 EUR,LU1373035663,-,Ja,Luxemburg,-,"0,24",13.Apr.2016,Anleihen,Staatsanleihen,Global,EUR,Schwellenländer,-,Weitere,KLASSE I2 HEDGED,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,JP Morgan EMBI Global Diversified Index,"116,02",17.Nov.2020,-,-,-,4.00,-,17.Nov.2020,-,17.Nov.2020,"3.701,39",Y,Index Fonds,30.Sep.2020,-,"2,31","-4,41","7,94","-1,15",31.Oct.2020,"-0,95","4,61","0,60",-,-,"2,58",31.Oct.2020,"-2,12","11,59","1,80",-,-,"12,30","5,46","12,39",-,"7,87",-,-,-,-,"7,63","-6,89","11,47",31.Dec.2019,iShares Em Mkts Gov Bond Index Hg I2 EUR,"5,62","0,49","4,53","12,39","7,87","0,00",BB,"3,16","1,00",-
-,iShares World Equity Index Fund (LU) Class F2 GBP,LU1396764083,-,Ja,Luxemburg,-,"0,23",20.Apr.2016,Aktien,Large Caps,Global,GBP,Industrieländer,-,Weitere,KLASSE F2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,MSCI WORLD Net ( custom 4pm LUX ),"169,85",18.Nov.2020,-,-,-,6.00,-,18.Nov.2020,-,18.Nov.2020,"1.590,31",Y,Index Fonds,30.Sep.2020,-,"14,79","14,37","7,38","5,82",31.Oct.2020,"3,73","7,17","6,46",-,-,"11,27",31.Oct.2020,"0,22","7,87","20,66",-,-,"62,16","1,64","0,00",-,"0,00",-,-,-,-,"12,14","-4,14","23,38",31.Dec.2019,iShares World Equity Index Fund (LU) Class F2 GBP,"19,64","2,43","0,02","0,00","0,00","305.926,57",A,"6,79","154,68",-
-,iShares Euro Government Bond Index Fund (IE) Inst Dist EUR,IE00B1N7ZB00,"10.534.030,08",Ja,Irland,-,"0,13",13.May.2016,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,Inst,"1.024.210,79",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,FTSE EMU Government Bond Index,"10,29",17.Nov.2020,-,-,-,3.00,"10,28",17.Nov.2020,"10,29",17.Nov.2020,"2.877,88",Y,Index Fonds,30.Sep.2020,-,"-3,48","-0,05","11,61","0,54",31.Oct.2020,"2,69","6,46","3,84",-,-,"2,63",31.Oct.2020,"4,66","3,79","11,98",-,-,"12,26",-,"10,51",-,"8,86",-,-,-,-,"-0,04","0,89","6,64",31.Dec.2019,iShares Euro Government Bond Index Fund (IE) Inst Dist EUR,"0,00","0,00","-0,19","10,51","8,86","0,00",A,"5,96",-,-
QDVR,iShares MSCI USA SRI UCITS ETF USD (Acc),IE00BYVJRR92,"4.338.208.167,26",Ja,Irland,"0,20",-,11.Jul.2016,Aktien,Large/Mid Caps,Nordamerika,USD,Industrieländer,Nachhaltige Strategien,Vereinigte Staaten von Amerika,- ,"422.376.478,00",Ja,Replikation,iShares IV plc,thesaurierend,MSCI USA SRI Select Reduced Fossil Fuel Index,"10,27",17.Nov.2020,"3.395,96",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"4.698,90",Y,Index Fonds,30.Sep.2020,-,"17,22","20,72","6,90","22,83",31.Oct.2020,"16,87","17,24","14,04",-,-,"15,62",31.Oct.2020,"9,80","18,19","48,31",-,-,"86,73",-,"0,00","0,03","0,00","0,00",-,-,-,"23,38","-1,95","31,89",31.Dec.2019,iShares MSCI USA SRI UCITS ETF USD (Acc),"26,19","4,71","0,01","0,00","0,00","200.664,89",AA,"8,37","52,23",ESG Broad
QDVN,iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc),IE00BYVJRQ85,"109.961.760,79",Ja,Irland,"0,25",-,29.Apr.2016,Aktien,Large/Mid Caps,Asien-Pazifik,EUR,Industrieländer,"Währungsgesichert, Nachhaltige Strategien",Japan,- ,"15.750.000,00",Ja,Replikation,iShares IV plc,thesaurierend,MSCI Japan SRI 100% Hedged to EUR Index,"6,98",17.Nov.2020,"2.202,22",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"109,96",Y,Index Fonds,30.Sep.2020,-,"22,09","12,35","-12,08","9,43",31.Oct.2020,"0,64","2,49","-0,11",-,-,"5,40",31.Oct.2020,"-3,78","7,14","-0,32",-,-,"26,71",-,"0,00","0,00","0,00","0,00",-,-,-,"17,94","-17,04","21,88",31.Dec.2019,iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc),"19,53","1,76","-0,02","0,00","0,00","37.269,74",AAA,"9,53","54,06",ESG Broad
QDVP,iShares US Mortgage Backed Securities UCITS ETF USD (Dist),IE00BZ6V7883,"1.061.310.353,24",Ja,Irland,"0,28",-,23.May.2016,Anleihen,Verbriefte Kredite,Nordamerika,USD,Industrieländer,-,Weitere,- ,"212.728.609,00",Ja,Sampling,iShares IV plc,ausschüttend,Bloomberg Barclays US Mortgage Backed Securities Index,"4,99",17.Nov.2020,"2.318,26",Ja,Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"2.519,56",Y,Index Fonds,30.Sep.2020,-,"-0,05","-1,40","7,54","4,15",31.Oct.2020,"3,86","6,21","3,40",-,-,"2,65",31.Oct.2020,"3,55","0,15","10,55",-,-,"12,29","2,78","3,32","3,42","2,07","1,06",-,-,-,"2,20","0,58","6,06",31.Dec.2019,iShares US Mortgage Backed Securities UCITS ETF USD (Dist),"18,47","0,92","1,06","3,32","2,28","0,00",-,-,-,-
-,iShares Em Mkts Gov Bond Index Hg I2 GBP,LU1400680390,-,Ja,Luxemburg,-,"0,24",11.May.2016,Anleihen,Staatsanleihen,Global,GBP,Schwellenländer,-,Weitere,KLASSE I2 HEDGED,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,JP Morgan EMBI Global Diversified Index,"119,40",18.Nov.2020,-,-,-,4.00,-,18.Nov.2020,-,18.Nov.2020,"3.701,39",Y,Index Fonds,30.Sep.2020,-,"3,20","-3,61","9,22","-0,98",31.Oct.2020,"-0,82","5,30","1,34",-,-,"3,27",31.Oct.2020,"-2,18","11,97","4,07",-,-,"15,47","5,42","12,39",-,"7,87",-,-,-,-,"8,57","-6,00","12,72",31.Dec.2019,iShares Em Mkts Gov Bond Index Hg I2 GBP,"5,62","0,49","4,53","12,39","7,87","0,00",BB,"3,16","1,00",-
QDVQ,iShares Fallen Angels High Yield Corp Bond UCITS ETF,IE00BYM31M36,"688.499.162,40",Ja,Irland,"0,50",-,21.Jun.2016,Anleihen,Hochzinsanleihen,Global,USD,Industrieländer,-,Weitere,- ,"114.871.347,00",Ja,Sampling,iShares IV plc,ausschüttend,Bloomberg Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped Index,"5,99",17.Nov.2020,"416,40",Ja,Nein/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"1.461,89",Y,Index Fonds,30.Sep.2020,-,"10,93","0,85","6,20","11,59",31.Oct.2020,"10,91","10,37","6,24",-,-,"7,90",31.Oct.2020,"8,30","13,04","19,91",-,-,"39,26","4,13","7,69","4,80","5,45","3,89",-,-,-,"12,94","-5,12","15,32",31.Dec.2019,iShares Fallen Angels High Yield Corp Bond UCITS ETF,"8,86","0,68","3,78","7,69","2,12","0,00",BB,"3,86","413,94",-
QDVS,iShares MSCI EM SRI UCITS ETF USD (Acc),IE00BYVJRP78,"1.335.240.337,04",Ja,Irland,"0,25",-,11.Jul.2016,Aktien,Large/Mid Caps,Global,USD,Schwellenländer,Nachhaltige Strategien,Weitere,- ,"170.638.882,00",Ja,Replikation,iShares IV plc,thesaurierend,MSCI EM SRI Select Reduced Fossil Fuel Index,"7,82",17.Nov.2020,"1.502,32",Ja,Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.437,84",Y,Index Fonds,30.Sep.2020,-,"17,42","3,09","-0,90","3,31",31.Oct.2020,"1,75","7,04","2,09",-,-,"7,15",31.Oct.2020,"-3,16","23,52","6,39",-,-,"34,57",-,"0,00","-0,52","0,00","-0,01",-,-,-,"33,85","-10,35","15,52",31.Dec.2019,iShares MSCI EM SRI UCITS ETF USD (Acc),"18,71","2,11","-0,01","0,00","0,00","58.844,78",AA,"7,42","137,34",ESG Broad
-,iShares North America Index Fund (IE) Class D Acc EUR,IE00BD575G75,"158.288.292,91",Ja,Irland,-,"0,08",28.Jun.2016,Aktien,Large Caps,Nordamerika,EUR,Industrieländer,-,Vereinigte Staaten von Amerika,KLASSE D,"9.044.293,07",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Daily Net TR North America EUR,"17,50",17.Nov.2020,-,-,-,6.00,"17,50",17.Nov.2020,"17,51",17.Nov.2020,"3.628,02",Y,Index Fonds,30.Sep.2020,-,"11,77","18,39","10,23","7,26",31.Oct.2020,"5,43","10,25","9,80",-,-,"11,68",31.Oct.2020,"-0,49","7,54","32,36",-,-,"61,51",-,"0,00",-,"0,00",-,-,-,-,"6,17","-1,01","33,10",31.Dec.2019,iShares North America Index Fund (IE) Class D Acc EUR,"22,08","3,43","0,00","0,00","0,00","408.903,86",A,"6,45","160,09",-
HEAL,iShares Healthcare Innovation UCITS ETF USD (Acc),IE00BYZK4776,"1.513.773.784,13",Ja,Irland,"0,40",-,08.Sep.2016,Aktien,Alle Kapitalisierungen,Global,USD,Industrieländer,"Nachhaltige Strategien, Thematische Anlagen",Weitere,- ,"165.000.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,STOXX Global Breakthrough Healthcare Index,"9,17",17.Nov.2020,"3.765,32",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.513,77",Y,Index Fonds,30.Sep.2020,-,"10,88","28,50","-20,71","49,56",31.Oct.2020,"41,33","17,39","13,63",-,-,"13,45",31.Oct.2020,"26,54","26,71","46,71",-,-,"68,69",-,"0,00","0,37","0,00","0,01",-,-,-,"35,03","-2,29","12,69",31.Dec.2019,iShares Healthcare Innovation UCITS ETF USD (Acc),"34,80","5,98","0,01","0,00","0,00","22.235,08",BBB,"4,93","27,61",Thematisch
DGTL,iShares Digitalisation UCITS ETF USD (Acc),IE00BYZK4883,"1.116.769.098,04",Ja,Irland,"0,40",-,08.Sep.2016,Aktien,Alle Kapitalisierungen,Global,USD,Industrieländer,"Nachhaltige Strategien, Thematische Anlagen",Weitere,- ,"123.000.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,STOXX Global Digitalisation Index,"9,08",17.Nov.2020,"3.253,66",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.116,77",Y,Index Fonds,30.Sep.2020,-,"11,96","21,32","-2,28","30,34",31.Oct.2020,"22,36","16,83","13,20",-,-,"13,17",31.Oct.2020,"17,17","29,00","45,06",-,-,"67,00",-,"0,00","0,00","0,00","0,00",-,-,-,"27,80","-4,42","25,52",31.Dec.2019,iShares Digitalisation UCITS ETF USD (Acc),"35,30","5,75","-0,01","0,00","0,00","98.475,30",BBB,"5,13","32,03",Thematisch
AGED,iShares Ageing Population UCITS ETF USD (Acc),IE00BYZK4669,"303.394.401,88",Ja,Irland,"0,40",-,08.Sep.2016,Aktien,Alle Kapitalisierungen,Global,USD,Industrieländer,"Nachhaltige Strategien, Thematische Anlagen",Weitere,- ,"45.500.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,STOXX Global Ageing Population Index,"6,67",17.Nov.2020,"2.375,72",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"303,39",Y,Index Fonds,30.Sep.2020,-,"15,52","5,98","-8,61","4,55",31.Oct.2020,"-0,35","1,84","-0,22",-,-,"3,63",31.Oct.2020,"-8,18","13,65","-0,65",-,-,"15,93",-,"0,00","0,02","0,00","0,00",-,-,-,"21,56","-12,87","20,14",31.Dec.2019,iShares Ageing Population UCITS ETF USD (Acc),"15,38","1,78","0,01","0,00","0,00","16.125,96",BBB,"5,58","26,00",Thematisch
2B76,iShares Automation & Robotics UCITS ETF USD (Acc),IE00BYZK4552,"3.231.945.451,20",Ja,Irland,"0,40",-,08.Sep.2016,Aktien,Alle Kapitalisierungen,Global,USD,Industrieländer,"Nachhaltige Strategien, Thematische Anlagen",Weitere,- ,"301.448.279,00",Ja,Optimierung,iShares IV plc,thesaurierend,STOXX Global Automation & Robotics Index,"10,72",17.Nov.2020,"2.952,81",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"3.298,03",Y,Index Fonds,30.Sep.2020,-,"35,95","9,13","0,31","26,58",31.Oct.2020,"22,22","21,87","9,38",-,-,"17,30",31.Oct.2020,"13,33","26,86","30,86",-,-,"93,73",-,"0,00","0,03","0,00","0,00",-,-,-,"46,78","-18,27","37,77",31.Dec.2019,iShares Automation & Robotics UCITS ETF USD (Acc),"36,92","4,75","0,01","0,00","0,00","86.778,79",BBB,"5,37","27,04",Thematisch
QDVC,iShares Edge MSCI USA Size Factor UCITS ETF USD (Acc),IE00BD1F4K20,"118.624.858,27",Ja,Irland,"0,20",-,13.Oct.2016,Aktien,Mid Caps,Nordamerika,USD,Industrieländer,Faktor ETFs,Vereinigte Staaten von Amerika,- ,"15.000.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI USA Mid-Cap Equal Weighted Index,"7,91",17.Nov.2020,"12.177,58",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"118,62",Y,Index Fonds,30.Sep.2020,-,-,"14,65","0,16","3,21",31.Oct.2020,"2,83","6,88","5,73",-,-,"8,64",31.Oct.2020,"-2,87","18,35","18,19",-,-,"39,83",-,"0,00","0,01","0,00","0,00",-,-,-,"17,92","-10,07","28,57",31.Dec.2019,iShares Edge MSCI USA Size Factor UCITS ETF USD (Acc),"18,41","2,50","0,01","0,00","0,00","16.058,42",BBB,"4,88","246,66",-
QDVI,iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc),IE00BD1F4M44,"1.440.332.364,20",Ja,Irland,"0,20",-,13.Oct.2016,Aktien,Large/Mid Caps,Nordamerika,USD,Industrieländer,Faktor ETFs,Vereinigte Staaten von Amerika,- ,"205.487.930,00",Ja,Replikation,iShares IV plc,thesaurierend,MSCI USA Enhanced Value Index,"7,01",17.Nov.2020,"1.502,83",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.486,57",Y,Index Fonds,30.Sep.2020,-,-,"15,66","-4,26","-7,78",31.Oct.2020,"-11,37","-3,73","-0,55",-,-,"5,34",31.Oct.2020,"-17,22","5,18","-1,64",-,-,"23,44",-,"0,00","-0,07","0,00","0,00",-,-,-,"21,46","-11,52","26,90",31.Dec.2019,iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc),"13,69","1,61","0,03","0,00","0,00","71.119,58",BBB,"5,42","168,40",-
QDVA,iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Acc),IE00BD1F4N50,"875.555.639,48",Ja,Irland,"0,20",-,13.Oct.2016,Aktien,Large/Mid Caps,Nordamerika,USD,Industrieländer,Faktor ETFs,Vereinigte Staaten von Amerika,- ,"84.169.165,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI USA Momentum Index,"10,40",17.Nov.2020,"3.583,07",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"889,35",Y,Index Fonds,30.Sep.2020,-,-,"25,43","1,55","24,93",31.Oct.2020,"18,97","16,09","13,25",-,-,"17,79",31.Oct.2020,"13,16","19,15","45,25",-,-,"93,99",-,"0,00","0,05","0,00","0,00",-,-,-,"37,16","-1,96","27,34",31.Dec.2019,iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Acc),"35,72","8,45","0,01","0,00","0,00","473.350,51",A,"6,73","62,62",-
QDVB,iShares Edge MSCI USA Quality Factor UCITS ETF USD (Acc),IE00BD1F4L37,"667.833.568,47",Ja,Irland,"0,20",-,13.Oct.2016,Aktien,Large/Mid Caps,Nordamerika,USD,Industrieländer,Faktor ETFs,Vereinigte Staaten von Amerika,- ,"74.658.276,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI USA Sector Neutral Quality Index,"8,95",17.Nov.2020,"4.892,84",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"827,95",Y,Index Fonds,30.Sep.2020,-,-,"18,70","3,75","13,96",31.Oct.2020,"8,37","11,48","9,88",-,-,"12,46",31.Oct.2020,"0,91","11,55","32,65",-,-,"60,85",-,"0,00","0,04","0,00","0,00",-,-,-,"21,82","-6,15","33,65",31.Dec.2019,iShares Edge MSCI USA Quality Factor UCITS ETF USD (Acc),"25,18","5,71","0,01","0,00","0,00","335.272,87",A,"6,73","121,59",-
-,iShares US Index Fund (IE) Inst Acc EUR,IE00BDFVDR63,"71.910.888,07",Ja,Irland,-,"0,17",13.Dec.2016,Aktien,Large Caps,Nordamerika,EUR,Industrieländer,-,Vereinigte Staaten von Amerika,Institutional,"4.815.753,52",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,S&P 500 Net TR Index in EUR,"14,93",17.Nov.2020,-,-,-,6.00,"14,93",17.Nov.2020,"14,94",17.Nov.2020,"2.078,27",Y,Index Fonds,30.Sep.2020,-,-,"19,27","10,79","6,91",31.Oct.2020,"5,05","10,33","10,07",-,-,"8,61",31.Oct.2020,"-0,89","6,52","33,35",-,-,"37,80","1,64","0,12",-,"0,12",-,-,-,-,"4,85","-0,36","33,74",31.Dec.2019,iShares US Index Fund (IE) Inst Acc EUR,"0,00","0,00","0,00","0,12","0,12","0,00",AA,"7,39","92,80",-
IS31,iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),IE00BYX8XD24,"287.015.918,84",Ja,Irland,"0,25",-,18.Nov.2016,Aktien,Large Caps,Nordamerika,EUR,Industrieländer,"Währungsgesichert, Faktor ETFs",Vereinigte Staaten von Amerika,Hedged,"39.938.267,00",Ja,Optimierung,iShares VI plc,thesaurierend,S&P 500 Minimum Volatility Index,"7,19",17.Nov.2020,"5.436,05",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.896,57",Y,Index Fonds,30.Sep.2020,-,-,"13,23","5,77","4,54",31.Oct.2020,"1,50","6,68","5,96",-,-,"7,22",31.Oct.2020,"-3,74","8,47","18,97",-,-,"31,63",-,"0,00","0,05","0,00","0,00",-,-,-,"14,47","-8,02","27,83",31.Dec.2019,iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),"24,03","3,84","0,01","0,00","0,00","242.990,16",A,"6,80","295,48",-
SXR6,iShares MSCI Japan SRI UCITS ETF,IE00BYX8XC17,"382.301.404,41",Ja,Irland,"0,20",-,06.Mar.2017,Aktien,Large/Mid Caps,Asien-Pazifik,USD,Industrieländer,Nachhaltige Strategien,Japan,- ,"55.607.499,00",Ja,Replikation,iShares IV plc,thesaurierend,MSCI Japan SRI Select Reduced Fossil Fuel Index,"6,87",17.Nov.2020,"2.303,95",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"457,31",Y,Index Fonds,30.Sep.2020,-,-,"12,26","-6,37","9,15",31.Oct.2020,"0,74","5,36","2,38",-,-,"5,51",31.Oct.2020,"-2,85","7,74","7,31",-,-,"21,69",-,"0,00","0,10","0,00","0,00",-,-,-,-,"-13,65","23,65",31.Dec.2019,iShares MSCI Japan SRI UCITS ETF,"17,10","1,48","-0,01","0,00","0,00","37.607,35",AAA,"8,94","49,99",ESG Broad
-,iShares Green Bond Index Fd D EUR Acc,IE00BD0DT578,"671.800.696,02",Ja,Irland,-,"0,22",16.Mar.2017,Anleihen,Mehrere Sektoren,Global,EUR,Industrieländer,Nachhaltige Strategien,Weitere,Class D Hedged,"59.061.110,29",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,BBG Barc Global Green Bond Index,"11,37",17.Nov.2020,-,-,-,3.00,"11,37",17.Nov.2020,"11,41",17.Nov.2020,"2.252,03",Y,Index Fonds,30.Sep.2020,-,-,"-1,09","9,34","1,97",31.Oct.2020,"3,25","5,98","3,28",-,-,"3,52",31.Oct.2020,"4,47","3,33","10,15",-,-,"13,37","1,43","9,31",-,"8,32",-,-,-,-,-,"-0,79","6,61",31.Dec.2019,iShares Green Bond Index Fd D EUR Acc,"9,26","0,73","0,41","9,31","8,28","0,00",A,"6,73","441,86",Impact
-,iShares Green Bond Index Fd Inst EUR Acc,IE00BD0DT792,"63.747.628,25",Ja,Irland,-,"0,23",16.Mar.2017,Anleihen,Mehrere Sektoren,Global,EUR,Industrieländer,Nachhaltige Strategien,Weitere,Class Institutional Hedged,"5.641.479,17",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,BBG Barc Global Green Bond Index,"11,30",17.Nov.2020,-,-,-,3.00,"11,30",17.Nov.2020,"11,33",17.Nov.2020,"2.252,03",Y,Index Fonds,30.Sep.2020,-,-,"-1,09","9,31","1,96",31.Oct.2020,"3,24","5,96","3,25",-,-,"3,34",31.Oct.2020,"4,45","3,32","10,06",-,-,"12,62","1,43","9,31",-,"8,32",-,-,-,-,-,"-0,81","6,58",31.Dec.2019,iShares Green Bond Index Fd Inst EUR Acc,"9,26","0,73","0,41","9,31","8,28","0,00",A,"6,73","441,86",Impact
OM3X,iShares OMX Stockholm Capped UCITS ETF,IE00BD3RYZ16,"4.393.161.669,18",Ja,Irland,"0,10",-,14.Dec.2016,Aktien,Large/Mid Caps,Europa,SEK,Industrieländer,-,Schweden,- ,"72.000.000,00",Ja,Replikation,iShares IV plc,thesaurierend,OMX Stockholm Benchmark Cap™,"61,02",17.Nov.2020,"1.558,01",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"4.393,16",Y,Index Fonds,30.Sep.2020,-,-,"8,43","3,80","16,47",31.Oct.2020,"5,19","10,75","6,45",-,-,"8,71",31.Oct.2020,"1,20","12,11","20,61",-,-,"38,23",-,"0,00","0,00","0,00","0,00",-,-,-,"9,93","-4,66","31,18",31.Dec.2019,iShares OMX Stockholm Capped UCITS ETF,"14,91","2,40","-0,01","0,00","0,00","245.892,41",AA,"8,53","42,95",-
